行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
董里府,住宿酒店,Coco Cottage,Coco Cottage,度假村,东侧海滩,42,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,预算有限但追求品质的游客,"价格可以,服务好,欢迎饮料好喝","📒泰国董里旅游攻略
99%中国人都没来过的泰国奈岛","https://www.xiaohongshu.com/explore/6890b04f0000000025022012?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67e00b5e000000001d03bbc0?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Fantasy Resort,Fantasy Resort,度假村,东侧海滩,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,想住知名酒店的游客,岛上较出名的酒店之一,📒泰国董里旅游攻略,https://www.xiaohongshu.com/explore/6890b04f0000000025022012?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Green Hotel,Green Hotel,酒店,东侧海滩,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,注重环境的游客,"整体环境好,工作人员有耐心",超级适合度假的奈岛⛱️,https://www.xiaohongshu.com/explore/6708b6da000000001a021d67?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Kachonghills Tented Resort Trang,Kachonghills Tented Resort Trang,帐篷度假村,卡昌山,42,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子/情侣度假,"山景泳池套房,迷你吧畅享,有瀑布和森林公园","不想去普吉人挤人？我去了董里：泡酒店+跳岛
⛰️泰国董里，把童年还给山野
🏕️卡昌山｜住进帐篷，过一天神仙日子","https://www.xiaohongshu.com/explore/699ff818000000002603319a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a3e1945000000001503d20e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a3e1750000000001700bec9?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Koh Mook Sivalai Beach Resort,Koh Mook Sivalai Beach Resort,度假村,东海岸,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求私密海滩的中国游客,"岛上唯一有私人海滩的酒店,海景别墅视角好",📒泰国董里旅游攻略,https://www.xiaohongshu.com/explore/6890b04f0000000025022012?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Koh Ngai Resort,Koh Ngai Resort,度假村,东侧海滩,42,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,想住独立海滩的游客,"独立海滩比大海滩干净,但房间旧,避雷801房间","🇹🇭董里甲米｜koh ngai奈岛吃喝住行全攻略
超级适合度假的奈岛⛱️","https://www.xiaohongshu.com/explore/65d039da000000000b023883?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6708b6da000000001a021d67?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Madee Spa & Resort,Madee Spa & Resort,度假村,市区,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,喜欢安静干净的中国游客,"小而精美,有泳池和按摩服务",Trang 董里CP值很高的酒店,https://www.xiaohongshu.com/explore/68c6dc99000000001d0152a4?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Mayalay Resort,Mayalay Resort,度假村,东侧海滩,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,喜欢独栋木屋的游客,"独栋小木屋有特色,出门就是海,淡季400元左右",📒泰国董里旅游攻略,https://www.xiaohongshu.com/explore/6890b04f0000000025022012?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,My Friends Hotel,My Friends Hotel,酒店,火车站附近,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,预算有限的中国游客,"步行2分钟到火车站夜市,房间大干净,空调足",🇹🇭董里Trang 超平价的住宿,https://www.xiaohongshu.com/explore/6912b337000000000402102e?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
董里府,住宿酒店,Rua Rasada Hotel,Rua Rasada Hotel,酒店,市区,42,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,追求便利的中国游客,"董里最大酒店,有泳池健身房,公区气派",泰国小众城市董里,https://www.xiaohongshu.com/explore/68e4985e0000000003038162?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,考艾瑞享度假村,Mövenpick Resort Khao Yai,酒店/度假村,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假游客,"欧洲城堡庄园式度假村,有高尔夫球场",曼谷周边 我愿意再去10⁸次的城堡酒店,https://www.xiaohongshu.com/explore/6a854248000000003400ddb0?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,考艾洲际度假村,InterContinental Khao Yai Resort,酒店/度假村,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假游客,"Bill Bensley设计,火车车厢主题套房,坐拥天鹅湖","泰国还能这样玩！🚄考艾洲际度假村🦢
从曼谷往东北开车约3小时，考艾国家公园入",https://www.xiaohongshu.com/explore/6a4d1d4d000000000702cd86?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,Lam Ta Khong Campground,Lam Ta Khong Campground,露营地,考艾国家公园内,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,露营爱好者,"设施完善的营地,可帐篷露营",泰国考艾国家公园两天一夜自驾行程攻略,https://www.xiaohongshu.com/explore/6a1934430000000036001d5d?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,Malai KhaoYai Resort,มาลัย เขาใหญ่ รีสอร์ท,度假酒店,考艾,29,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假放松,山景树景环绕、晨雾夜景安静、无城市噪音,周末逃离曼谷，考艾吸氧去,https://www.xiaohongshu.com/explore/6a35e817000000001101353a?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,Marasca Khao Yai,Marasca Khao Yai,酒店/度假村,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,野奢爱好者,"SLH精品酒店联盟,野奢帐篷和别墅(已停业)",【考艾】曼谷北山野奢秘境Marasca,https://www.xiaohongshu.com/explore/67f29741000000001202e894?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,Thames Valley Khao Yai,Thames Valley Khao Yai Hotel,酒店/度假村,北冲县,55,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假游客,"英式乡村风设计,靠近国家公园","「这不是英国，是泰国考艾！🇬🇧」
泰国小瑞士！考艾3天2夜自驾之旅","https://www.xiaohongshu.com/explore/6a8d9c6200000000370364e0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a509ae8000000002201b49f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,The Hidden Village Khao Yai,The Hidden Village Khao Yai,酒店/度假村,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假游客,"木质别墅被绿植环绕,安静私密",泰国🇹🇭考艾 3天2晚自由行攻略,https://www.xiaohongshu.com/explore/6985c506000000000d00a373?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,Toscana Valley,โทสคานา วัลเลย์,度假村/欧式小镇,考艾,29,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,拍照打卡,托斯卡纳风格建筑、湖景餐厅、欧式庄园体验,"泰国🇹🇭考艾 3天2晚自由行攻略
周末逃离曼谷，考艾吸氧去
曼谷到考艾3.5h｜迷宫遛娃+意大利小镇+4.8分","https://www.xiaohongshu.com/explore/6985c506000000000d00a373?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a35e817000000001101353a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a68a328000000002201b2c7?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,U Khao Yai Resort,U Khao Yai Resort,酒店/度假村,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假游客,"南法乡村小庄园风格,绿化覆盖率高",旅游 Vlog｜泰国·参观葡萄酒庄🍷,https://www.xiaohongshu.com/explore/6a0ee0300000000007020be1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,住宿酒店,Zennext Khaoyai,Zennext Khaoyai,酒店/度假村,北冲县,55,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假游客,"房间大干净安静,早上可能有大象来访",Khao Yai｜泰国考艾7个宝藏景点+餐厅+住宿,https://www.xiaohongshu.com/explore/6a7dcfc5000000000c003001?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,罗望子酒店,Tamarind Resort,海岛度假村,Ao Cho海滩,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假/亲子,"更大浴室和漂亮阳台,1500多/晚",春节游泰国之曼谷和沙美岛(二),https://www.xiaohongshu.com/explore/699d6457000000000c03480d?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,罗勇罗姆塔雷美居别墅度假村,Mercure Rayong Lomtalay,别墅度假村,Lomtalay区,75,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假/躺平,"分花园房和海景房两区,沙滩前吃早餐,安静惬意","泰国罗勇府攻略｜比普吉清净、比芭提雅治愈
Mercure Rayong Lomtalay美居罗勇","https://www.xiaohongshu.com/explore/69eb5dd7000000003601efde?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67ac653b000000001703ba1f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,罗勇万豪度假酒店,Rayong Marriott Resort,豪华度假村,Mae Ramphueng Beach,75,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子/情侣/度假,"270°海景套房、沙滩细腻、中文服务多,春节超50%中国面孔","2026第一站:罗勇万豪度假酒店
2025第十三站:罗勇万豪度假酒店","https://www.xiaohongshu.com/explore/698c1327000000000a02ca3f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/681990f0000000002300198d?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,萨凯海滩度假村,Sai Kaew Beach Resort,海岛度假村,主街附近,75,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假/亲子,"私人码头、免费双条车接送,沙滩按摩350铢/小时","沙美岛码头好吃到飞起的皮皮虾面！探店成功
沙美岛-萨凯酒店sai kaew beach resort","https://www.xiaohongshu.com/explore/689ca12d000000001d036b5f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/693f4250000000001e034566?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,沙美别墅度假酒店,Samed Villa Resort,海岛度假村,Ao Phai沙滩,75,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假/情侣,"独立小木屋、度假感强,500多元/晚性价比高","春节游泰国之曼谷和沙美岛(二)
沙美岛 samed villa resort
8天曼谷+芭提雅+沙美岛自由行行程供参考","https://www.xiaohongshu.com/explore/699d6457000000000c03480d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69992665000000000a03246b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a579500000000016008ebc?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Golden City Rayong Hotel,Golden City Rayong Hotel,城市酒店,市区,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,商务/过渡,"MiniBus可直达,性价比高",曼谷Mochit-罗勇-沙美岛 交通实测攻略,https://www.xiaohongshu.com/explore/6a7dbc25000000002500a237?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Huan Soontaree,Huan Soontaree,经济酒店,码头附近,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,过渡/性价比,"价格实惠,工作人员贴心,可帮忙买榴莲",🇹🇭罗勇府的一天,https://www.xiaohongshu.com/explore/66f8c9df000000001b0231ab?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Kerala Coco,Kerala Coco,海岛度假村,Ao Prao海滩,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,年轻度假,"相对便宜泳池小,客群更年轻",🇹🇭 试试把沙美岛AoPrao海滩说明白,https://www.xiaohongshu.com/explore/65cf93e4000000002d001ba8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Le Vimarn / Aoprao Resort,Le Vimarn / Aoprao Resort,豪华度假村,Ao Prao海滩,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,高端度假,"同一个集团资源共享,客人以上年纪或家庭客为主",🇹🇭 试试把沙美岛AoPrao海滩说明白,https://www.xiaohongshu.com/explore/65cf93e4000000002d001ba8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Likita Resort,Likita Resort,民宿度假村,码头对面,75,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,中转/性价比,"小木屋房型、有小泳池,出门就是海,性价比高","Staycation，泰国罗勇府班佩码头住到不想走
泰国沙美岛班佩码头交通住宿购物全攻略","https://www.xiaohongshu.com/explore/6a71f006000000000502b174?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69913da3000000001b01f11d?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Samed Tropical Resort,Samed Tropical Resort,海岛度假村,远离钻石沙滩,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子/私密,"私密性强、礁石区浮潜可见砗磲和鱼群,780元两晚",曼谷2h直达果冻海✨沙美岛环岛上岛攻略,https://www.xiaohongshu.com/explore/6a4cbfe0000000001003d536?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Star Convention Hotel,Star Convention Hotel,商务酒店,Big C附近,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,商务/过渡,"打车10分钟约80泰铢,上楼办理入住",曼谷东站—罗勇市区star convention hotel,https://www.xiaohongshu.com/explore/6a76c2d9000000002c0044cc?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,Tubtim Resort,Tubtim Resort,海岛度假村,岛中部,75,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,度假/躺平,"私人海滩、人少安静,600元/晚",沙美岛来对了,https://www.xiaohongshu.com/explore/6a8eff69000000002502467f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
难府,住宿酒店,Utopua Resort,ยูโทปัวว์ รีสอร์ท,度假酒店,难府,29,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,带宠物游客,房间大而新、含早餐、宠物友好(+500铢/晚),🇹🇭泰国小众游 | 记录小狗的难府行,https://www.xiaohongshu.com/explore/694c0855000000001f00aaba?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Ban Suansin,班苏安辛酒店,小木屋酒店,山顶,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,预算/景观,140元小木屋、NernKhao View Talay餐厅,人均60元，都给我冲泰国攀牙山顶米其林餐厅,https://www.xiaohongshu.com/explore/63f6052600000000270299a4?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Devasom Khao Lak Beach Resort & Villas,德瓦颂酒店,豪华度假村,邦萨海滩,51,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,情侣/避世,泰式风情、米其林TAKOLA餐厅、SPA、买手店,"考拉（蔻丽）一个泰国最喜欢的宝藏地
没有遗憾的普吉岛之旅从选对酒店开始","https://www.xiaohongshu.com/explore/68f3b6e900000000070083c4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2ea71c000000003501f288?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Eden Beach Khao Lak Resort & Spa,考拉伊甸海滩度假村,四星级度假村,邦娘海滩,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/冲浪,近斯米兰码头、热带园林、餐厅美味,考拉🏝️不想走的人生酒店！巨好住！太舒服了！,https://www.xiaohongshu.com/explore/69f95d9d0000000035023e99?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,JW Marriott Khao Lak Resort & Spa,考拉JW万豪水疗度假酒店,五星级度假村,邦萨海滩,51,7,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/情侣,4km泳池、私家海滩、Quan Spa、多餐厅,"攀牙府考叻
🇹🇭普吉岛！男大豪赌普吉岛成功了！！！！
🌴 普吉岛北边小众宝藏海滨-Khao Lak考拉
考拉JW 万豪水疗度假酒店
泰国考拉镇Bang Niang夜市","https://www.xiaohongshu.com/explore/677de47b0000000001001f00?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a0d5846000000003502093f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/691989db0000000007035282?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a5b3db4000000000301fe63?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69b6aba5000000001f005aee?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Khaolak Bhandari Resort & Spa,考拉班达里度假村,泰式度假村,热带花园,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,性价比/躺平,纯泰式木质建筑、无边泳池、SPA馆,泰国神仙度假村🥹百元住出安纳塔拉顶配度假,https://www.xiaohongshu.com/explore/6a4c5cf30000000007024cf8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Kokotel Khao Lak Montana,科科特尔考拉蒙塔纳酒店,中端酒店,镇中心,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,预算/便利,隔音差、租摩托车方便,🇹🇭考拉Khao Lak - 四天四夜,https://www.xiaohongshu.com/explore/69cbb7c4000000001a028066?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Le Méridien Khao Lak Resort & Spa,考拉艾美水疗度假酒店,五星级度假村,邦萨海滩,51,3,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,情侣/度假,Beach Grill餐厅、三泳池、SPA、儿童俱乐部,"在普吉岛考拉❗️私藏必打卡的海边餐厅
普吉岛考拉必打卡清单✨玩这些才叫海岛游！
泰国考拉美食全攻略🍴全天候度假味觉之旅","https://www.xiaohongshu.com/explore/69ff1cc5000000001f007d89?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f5f46e0000000023007cb5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/691486240000000005031bfb?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Little Khao Lak Coast,小考拉海岸,度假村,海滩,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/性价比,比普吉便宜一半,考拉（蔻丽）一个泰国最喜欢的宝藏地,https://www.xiaohongshu.com/explore/68f3b6e900000000070083c4?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Nang Thong Beach Resort,南通海滩度假村,海滩度假村,南通海滩,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,家庭/日落,服务不错、景色好,🇹🇭考拉Khao Lak - 四天四夜,https://www.xiaohongshu.com/explore/69cbb7c4000000001a028066?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,Samet Nangshe Boutique Hotel,萨梅特南舍精品酒店,精品酒店,山顶观景台,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,摄影/日落,Bay View Cafe观景台、俯瞰攀牙湾,避开人潮｜普吉周边小众目的地推荐！,https://www.xiaohongshu.com/explore/67790b2c000000000900e8e5?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,住宿酒店,The Haven Khao Lak,考拉避风港酒店,成人专属度假村,库克卡克海滩,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,情侣/静谧,5000m2海水泳池、12岁+、热带花园,🌊邂逅宁静——The Haven Khao Lak🌊,https://www.xiaohongshu.com/explore/6a6171b5000000000f0110cd?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
彭世洛府,住宿酒店,Nap Corner Hostel,แนป คอร์เนอร์ โฮสเทล,青旅,彭世洛市区,29,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,背包客,老奶奶经营、绿巷子里、干净安静,彭世洛旅游攻略 好喜欢这个慢悠悠的城市,https://www.xiaohongshu.com/explore/6a0710220000000036001496?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,住宿酒店,风雅轩别墅,Maesalong Villa,民宿,山上,69,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合看景,360°环山美景、全年凉爽,🏔️ 美斯乐360°环山美景民宿 一定要来一次,https://www.xiaohongshu.com/explore/6a68d1060000000002003c00?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,住宿酒店,清莱艾美度假酒店,Le Méridien Chiang Rai Resort,度假村,221/2 Moo 20 Kwaewai Road,69,7,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合度假/亲子,环境好、有中文服务、近三庙,"先码后看📒清莱遛娃必看的14条建议🏝
清莱艾美:廉颇老矣｜千店测评7/1000
清莱疗愈SPA｜清莱艾美度假酒店水疗中心💆
用一次正宗的泰式按摩，真正的放松身心
一趟身心疗愈之旅，从特色SPA开启","https://www.xiaohongshu.com/explore/661cd3b8000000001a00cf08?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69cb6524000000001e00c2a4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66306823000000001e038bd5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6964b215000000000a02b2ba?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/680b0912000000001c030810?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,住宿酒店,睡莲酒店,Lotus Hotel,酒店,市中心,69,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合安静休息,原生态、老板给规划行程,清莱吃住之睡莲酒店和清莱夜市泰北泥炉火锅,https://www.xiaohongshu.com/explore/69aba5c8000000001d027351?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,住宿酒店,小屋旅社,Small House Guesthouse,民宿,村中,69,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合深度游,老板是段希文将军参谋后代、可聊历史,泰国美斯乐---小众夏日避暑胜地推荐,https://www.xiaohongshu.com/explore/66a71372000000000d03087d?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
